exam_year,exam_council_code,exam_council_name
2023,01,Sở GDĐT Hà Nội
2023,02,Sở GDĐT TP. Hồ Chí Minh
2023,03,Sở GDĐT Hải Phòng
2023,04,Sở GDĐT Đà Nẵng
2023,05,Sở GDĐT Hà Giang
2023,06,Sở GDĐT Cao Bằng
2023,07,Sở GDĐT Lai Châu
2023,08,Sở GDĐT Lào Cai
2023,09,Sở GDĐT Tuyên Quang
2023,10,Sở GDĐT Lạng Sơn
2023,11,Sở GDĐT Bắc Kạn
2023,12,Sở GDĐT Thái Nguyên
2023,13,Sở GDĐT Yên Bái
2023,14,Sở GDĐT Sơn La
2023,15,Sở GDĐT Phú Thọ
2023,16,Sở GDĐT Vĩnh Phúc
2023,17,Sở GDĐT Quảng Ninh
2023,18,Sở GDĐT Bắc Giang
2023,19,Sở GDĐT Bắc Ninh
2023,21,Sở GDĐT Hải Dương
2023,22,Sở GDĐT Hưng Yên
2023,23,Sở GDĐT Hoà Bình
2023,24,Sở GDĐT Hà Nam
2023,25,Sở GDĐT Nam Định
2023,26,Sở GDĐT Thái Bình
2023,27,Sở GDĐT Ninh Bình
2023,28,Sở GDĐT Thanh Hoá
2023,29,Sở GDĐT Nghệ An
2023,30,Sở GDĐT Hà Tĩnh
2023,31,Sở GDĐT Quảng Bình
2023,32,Sở GDĐT Quảng Trị
2023,33,Sở GDĐT Thừa Thiên Huế
2023,34,Sở GDĐT Quảng Nam
2023,35,Sở GDĐT Quảng Ngãi
2023,36,Sở GDĐT Kon Tum
2023,37,Sở GDĐT Bình Định
2023,38,Sở GDĐT Gia Lai
2023,39,Sở GDĐT Phú Yên
2023,40,Sở GDĐT Đắk Lắk
2023,41,Sở GDĐT Khánh Hoà
2023,42,Sở GDĐT Lâm Đồng
2023,43,Sở GDĐT Bình Phước
2023,44,Sở GDĐT Bình Dương
2023,45,Sở GDĐT Ninh Thuận
2023,46,Sở GDĐT Tây Ninh
2023,47,Sở GDĐT Bình Thuận
2023,48,Sở GDĐT Đồng Nai
2023,49,Sở GDĐT Long An
2023,50,Sở GDĐT Đồng Tháp
2023,51,Sở GDĐT An Giang
2023,52,Sở GDĐT Bà Rịa-Vũng Tàu
2023,53,Sở GDĐT Tiền Giang
2023,54,Sở GDĐT Kiên Giang
2023,55,Sở GDĐT Cần Thơ
2023,56,Sở GDĐT Bến Tre
2023,57,Sở GDĐT Vĩnh Long
2023,58,Sở GDĐT Trà Vinh
2023,59,Sở GDĐT Sóc Trăng
2023,60,Sở GDĐT Bạc Liêu
2023,61,Sở GDĐT Cà Mau
2023,62,Sở GDĐT Điện Biên
2023,63,Sở GDĐT Đăk Nông
2023,64,Sở GDĐT Hậu Giang
2023,65,Cục Nhà trường -Bộ Quốc phòng
