column,dtype,n_total,n_observed,n_missing,pct_missing,n_unique_observed,sample,min,max
Student ID,string,1022060,1022060,0,0.0,1022060,01000001,,
Mathematics,float64,1022060,1003373,18687,1.8283662407295072,51,8.4,0.0,10.0
Literature,float64,1022060,1008239,13821,1.3522689470285503,215,8.5,0.0,10.0
Foreign language,float64,1022060,880997,141063,13.801831595013992,50,9.2,0.0,10.0
Physics,float64,1022060,327189,694871,67.98730015850342,41,5.0,0.0,10.0
Chemistry,float64,1022060,328118,693942,67.89640529910181,39,3.5,0.0,10.0
Biology,float64,1022060,324625,697435,68.23816605678728,41,1.75,0.0,10.0
History,float64,1022060,683447,338613,33.130442439778484,41,6.75,0.0,10.0
Geography,float64,1022060,682134,339926,33.25890847895427,40,6.0,0.0,10.0
Civic education,float64,1022060,565452,456608,44.675263683149716,40,9.0,0.0,10.0
Foreign language code,string,1022060,880997,141063,13.801831595013992,7,N1,,
