column,missing_n,structural_candidate_opposite_group_n,unresolved_observed_group_n,unresolved_no_group_n,unresolved_total_n
Mathematics,18687,0,13800,4887,18687
Literature,13821,0,9063,4758,13821
Foreign language,141063,0,135940,5123,141063
Physics,694871,683813,2241,8817,11058
Chemistry,693942,683813,1312,8817,10129
Biology,697435,683813,4805,8817,13622
History,338613,329430,366,8817,9183
Geography,339926,329430,1679,8817,10496
Civic education,456608,329430,118361,8817,127178
Foreign language code,141063,0,135940,5123,141063
