observed_exam_group,missing_count,missing_bin,n,pct_group
science_only,0,0,0,0.0
science_only,1,1,0,0.0
science_only,2,2,0,0.0
science_only,3,3-4,313095,95.04143520626536
science_only,4,3-4,7850,2.3829038035394468
science_only,5,5+,2241,0.6802659138511975
science_only,6,5+,6168,1.8723249248702305
science_only,7,5+,71,0.02155237835048417
science_only,8,5+,5,0.0015177731232735331
science_only,9,5+,0,0.0
social_only,0,0,0,0.0
social_only,1,1,0,0.0
social_only,2,2,0,0.0
social_only,3,3-4,559881,81.87633168717178
social_only,4,3-4,5913,0.8647100888693254
social_only,5,5+,103643,15.156629078417637
social_only,6,5+,14285,2.0890214137490806
social_only,7,5+,87,0.012722776548559328
social_only,8,5+,4,0.0005849552436119231
social_only,9,5+,0,0.0
both_observed,0,0,0,
both_observed,1,1,0,
both_observed,2,2,0,
both_observed,3,3-4,0,
both_observed,4,3-4,0,
both_observed,5,5+,0,
both_observed,6,5+,0,
both_observed,7,5+,0,
both_observed,8,5+,0,
both_observed,9,5+,0,
neither_observed,0,0,0,0.0
neither_observed,1,1,0,0.0
neither_observed,2,2,0,0.0
neither_observed,3,3-4,0,0.0
neither_observed,4,3-4,0,0.0
neither_observed,5,5+,0,0.0
neither_observed,6,5+,3445,39.07224679596234
neither_observed,7,5+,452,5.126460247249631
neither_observed,8,5+,444,5.035726437563797
neither_observed,9,5+,4476,50.76556651922422
