exam_year,exam_council_code,exam_council_name,merge_status,candidate_rows
2023,01,Sở GDĐT Hà Nội,both,102095
2023,02,Sở GDĐT TP. Hồ Chí Minh,both,84851
2023,03,Sở GDĐT Hải Phòng,both,22723
2023,04,Sở GDĐT Đà Nẵng,both,13133
2023,05,Sở GDĐT Hà Giang,both,6286
2023,06,Sở GDĐT Cao Bằng,both,5046
2023,07,Sở GDĐT Lai Châu,both,3838
2023,08,Sở GDĐT Lào Cai,both,7866
2023,09,Sở GDĐT Tuyên Quang,both,8392
2023,10,Sở GDĐT Lạng Sơn,both,9353
2023,11,Sở GDĐT Bắc Kạn,both,2917
2023,12,Sở GDĐT Thái Nguyên,both,16153
2023,13,Sở GDĐT Yên Bái,both,8235
2023,14,Sở GDĐT Sơn La,both,11773
2023,15,Sở GDĐT Phú Thọ,both,15874
2023,16,Sở GDĐT Vĩnh Phúc,both,14042
2023,17,Sở GDĐT Quảng Ninh,both,16025
2023,18,Sở GDĐT Bắc Giang,both,21080
2023,19,Sở GDĐT Bắc Ninh,both,16724
2023,21,Sở GDĐT Hải Dương,both,21934
2023,22,Sở GDĐT Hưng Yên,both,15386
2023,23,Sở GDĐT Hoà Bình,both,9690
2023,24,Sở GDĐT Hà Nam,both,9635
2023,25,Sở GDĐT Nam Định,both,20405
2023,26,Sở GDĐT Thái Bình,both,20845
2023,27,Sở GDĐT Ninh Bình,both,11149
2023,28,Sở GDĐT Thanh Hoá,both,36480
2023,29,Sở GDĐT Nghệ An,both,36886
2023,30,Sở GDĐT Hà Tĩnh,both,17249
2023,31,Sở GDĐT Quảng Bình,both,11168
2023,32,Sở GDĐT Quảng Trị,both,8413
2023,33,Sở GDĐT Thừa Thiên Huế,both,13029
2023,34,Sở GDĐT Quảng Nam,both,17197
2023,35,Sở GDĐT Quảng Ngãi,both,13870
2023,36,Sở GDĐT Kon Tum,both,5028
2023,37,Sở GDĐT Bình Định,both,18897
2023,38,Sở GDĐT Gia Lai,both,14861
2023,39,Sở GDĐT Phú Yên,both,10666
2023,40,Sở GDĐT Đắk Lắk,both,21042
2023,41,Sở GDĐT Khánh Hoà,both,14487
2023,42,Sở GDĐT Lâm Đồng,both,14687
2023,43,Sở GDĐT Bình Phước,both,10930
2023,44,Sở GDĐT Bình Dương,both,14218
2023,45,Sở GDĐT Ninh Thuận,both,6121
2023,46,Sở GDĐT Tây Ninh,both,10229
2023,47,Sở GDĐT Bình Thuận,both,12900
2023,48,Sở GDĐT Đồng Nai,both,33158
2023,49,Sở GDĐT Long An,both,15653
2023,50,Sở GDĐT Đồng Tháp,both,15678
2023,51,Sở GDĐT An Giang,both,19942
2023,52,Sở GDĐT Bà Rịa-Vũng Tàu,both,12925
2023,53,Sở GDĐT Tiền Giang,both,15455
2023,54,Sở GDĐT Kiên Giang,both,14423
2023,55,Sở GDĐT Cần Thơ,both,12061
2023,56,Sở GDĐT Bến Tre,both,12117
2023,57,Sở GDĐT Vĩnh Long,both,10435
2023,58,Sở GDĐT Trà Vinh,both,9196
2023,59,Sở GDĐT Sóc Trăng,both,10045
2023,60,Sở GDĐT Bạc Liêu,both,6382
2023,61,Sở GDĐT Cà Mau,both,9776
2023,62,Sở GDĐT Điện Biên,both,6685
2023,63,Sở GDĐT Đăk Nông,both,7384
2023,64,Sở GDĐT Hậu Giang,both,6937
