exam_year,exam_council_code,exam_council_name,source_code,source_name,provenance,source_check
2023,01,Sở GDĐT Hà Nội,1,Sở GDĐT Hà Nội,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,02,Sở GDĐT TP. Hồ Chí Minh,2,Sở GDĐT TP. Hồ Chí Minh,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,03,Sở GDĐT Hải Phòng,3,Sở GDĐT Hải Phòng,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,04,Sở GDĐT Đà Nẵng,4,Sở GDĐT Đà Nẵng,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,05,Sở GDĐT Hà Giang,5,Sở GDĐT Hà Giang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,06,Sở GDĐT Cao Bằng,6,Sở GDĐT Cao Bằng,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,07,Sở GDĐT Lai Châu,7,Sở GDĐT Lai Châu,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,08,Sở GDĐT Lào Cai,8,Sở GDĐT Lào Cai,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,09,Sở GDĐT Tuyên Quang,9,Sở GDĐT Tuyên Quang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,10,Sở GDĐT Lạng Sơn,10,Sở GDĐT Lạng Sơn,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,11,Sở GDĐT Bắc Kạn,11,Sở GDĐT Bắc Kạn,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,12,Sở GDĐT Thái Nguyên,12,Sở GDĐT Thái Nguyên,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,13,Sở GDĐT Yên Bái,13,Sở GDĐT Yên Bái,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,14,Sở GDĐT Sơn La,14,Sở GDĐT Sơn La,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,15,Sở GDĐT Phú Thọ,15,Sở GDĐT Phú Thọ,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,16,Sở GDĐT Vĩnh Phúc,16,Sở GDĐT Vĩnh Phúc,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
